Concetto;Costrutto;Volume
Utente;E;10000
Directory;E;200000
File;E;1000000
Versione;E;3000000
Download;E;2000000
Visualizzazione;E;10000000
Segnalazione;E;1000
Operatore;E;200
Intervento;E;5000
Condivisione;R;750000
Preferenza;R;50000
Residenza;R;190000
Contenimento;R;1000000
Versionamento;R;3000000
Scaricamento Versione;R;2000000
Scaricamento Utente;R;2000000
Visualizzazione Versione;R;10000000
Visualizzazione Utente;R;10000000
Possesso;R;200000
Apertura;R;1000
Accettazione;R;1000
Chiusura;R;1000
Utente Interviene;R;2500
Operatore Interviene;R;2500
Interessamento;R;5000
