Concetto;Costrutto;Volume
Utente;E;10000
Directory;E;200000
File;E;1000000
Versione;E;3000000
Download;E;2000000
Visualizzazione;E;10000000
Segnalazione;E;5000
Operatore;E;200
Intervento;E;25000
Condivide;R;750000
Preferisce;R;50000
Subdirectory;R;800000
Contiene_File;R;1000000
Versionato;R;3000000
Versione_Scaricata;R;2000000
Utene_Scarica;R;2000000
Versione_Visualizzata;R;10000000
Utene_Visualiza;R;10000000
Possiede_File;R;1000000
Possiede_Directory;R;200000
Apertura;R;5000
Accetta;R;5000
Chiude;R;5000
Utente_Interviene;R;12500
Operatore_Interviene;R;12500
Interviene;R;25000
