Codice;Operazione;Frequenza
1;Registrare un nuovo utente;5 volte al giorno
2;Creare una nuova directory;5000 volte al giorno
3;Aggiungere un nuovo file;10000 volte al giorno
4;Rinominare un file;5000 volte al giorno
5;Aggiungere una nuova versione di un file;5000 volte al giorno
6;Scaricare una versione di un file;1000 volte al giorno
7;Aggiungere un file ai preferiti;100 volte al giorno
8;Condividere un file con un utente;100 volte al giorno
9;Visualizzare un file;1000 volte al giorno
10;Aprire una segnalazione;10 volte al giorno
11;Accettare una segnalazione;10 volte al giorno
12;Chiudere una segnalazione;10 volte al giorno
13;Fare un intervento da parte di un utente;30 volte al giorno
14;Fare un intervento da parte di un operatore;30 volte al giorno
15;Registrare un nuovo operatore;10 volte all’anno
